Here is a Government "of the people, by the people, and for the people. | 0

Chicago is a grand, noble city, the mctropolis of a grand, noble, wealthy, fast-growing State; a city doing more business to-day, I take it, than any other city in the Union, unless it be New York, and crowding fast on the heels of New York, which has its magnificent public building completed, or about finished. | 0

Mr President, whenever an American boy can go into one of the oldest schools of one of the oldest and proudest and most intellectualj countries of Europe, and not merely stand in the front of his class and graduate with the highest honors, but take the Queen's special medal for high scholarship and bring it homo with him, I feel like rewarding himu for having done honor to his country. | 0

The money you pay to provide them lodgings in almshouses will carry them to your Western lands and help them to a start when they got there. | 0

We will fall on your necks and rejoice. | 0

I wish to ask the gentleman if he has forgotten that the poor man and poor woman who want to get $1 out of the savings-bank where their little earnings are deposited have to pay two cents for the privilege, while the rich man who draws out his thousand or ten thousand dollars pays no more than that . | 0

I do not consent that a dollar shall be taken from the National Treasury for any purpose whatever so long as you have hungry men, women, and children thronging your streets and thoroughfares. | 0

It is to farm out the offices to soldiers of fortune, a7 one high. | 0

Members who have no wives here, who have no families, will be allowed to issue as many passes as they please to their lady friends, and the result will be that gallery will be crowded with people who are in nowise connected with a member or his family. | 0

the people of the District who did not bring that crowd here should  Mr NEAL. | 0

I join my colleagues in the House of Representatives in paying tribute to a great American and extending my sympathy to his family. | 0

At the end of the article Dr Mayo says: "Part of my pride is patriotic; I am proud that my country and the men of my profesqion have not forgotten in peace and security the awful obligation we placed on millions of boys and young men in the prime of their lives, when they stood between ourselves and national ruin, and stood well. | 0

Mr Speaker, all of us in America owe a great debt to a very great and revered patriot who fought and died in order to help and assist our own beloved country. | 0

I, for one, want to pay great tribute to the taxpayers of America. | 0

I rise to pay tribute to the American people and the American taxpayers for their generosity and their charity, and for the help which they have given to the peoples of the world since the war ended, and before. | 0

America is proud of you. | 0

Chairman, I should like to join my colleagues in paying tribute to Walker Buel and his great service in the newspaper field. | 0

Maine is proud to have as a neighbor the State of New Hampshire. | 0

I would like to join with my colleague from Indiana in paying tribute to that great American, Will Hays. | 0

I know that my country is far better because of JOHN PHILLIPS and that my sons and my grandchildren will live in a better America because of his great fight for the liberties and freedoms that we all have enjoyed. | 0

I am very proud to come from the city of Chicago but I also come from the great State of Illinois. | 0

Speaker, it Is with great and deep personal sorrow that I Join with Members of the House to pay tribute to John Edward Fogarty, a man I have been proud to call friend, as well as colleague for 24 years. | 0

All of us watched with great interest the fight for freedom and independence that the Algerian people carried on for many years, when they fought to end colonialism. | 0

Let me say to all Senators that the Senator from Georgia has been a stalwart colleague and has stood shoulder to shoulder with me and other colleagues in fighting this thing out. | 0

I know that he spent his 62d birthday walking around the boondocks in Thailand. | 0

I am proud to be able to number the the steelworkers among my friends, and I take pleasure in having this opportunity to pay tribute to this great and dedicated union. | 0

We are proud to be representatives of a nation which has produced such a fine body of fighting men. | 0

We are thankful that the Legion brings this opportunity for us to join our old comrades and folks from back home In remembering the struggles of the past. | 0

Roger Maris, a North Dakotan, of whom we are all proud, hit two home runs today. | 0

Millions of American young people can be grateful that JOHN BRADEMAS, of Indiana, is here in the U S. | 0

Collectively we say that we are proud of his service and will be proud to be working with him as individual friends and neighbors in the years ahead. | 0

Speaker, I rise to join with so many of my colleagues in the Congress to pay tribute to FRANK STUBBLEFIELD of Kentucky who retires from the House of Representatives at the end of the 93d Congress. | 0

On behalf of the people of New York, and the people of my district, I thank the gentleman and all the Members of his committee for giving us this great national park. | 0

Mr Speaker, I join with my colleagues here today and salute our fine friend from Newport News. | 0

He has provided strong and responsible leadership to his committees and colleagues; he has been the good right arm of the citizens of Maryland's Third District, to whom he has given devoted and loyal service; he is a patriotic and proud American who has worked untiringly for the betterment of his country. | 0

Mr Chairman, it will come as no surprise that I, too, join the chorus of support for this splendid legislation; not, let me say, because I am a Californian, but because I am a citizen of the United States of America and not the Balkan Peninsula. | 0

Now that he is on the verge of returning to Austin and to central Texas, I know the people of our district will be just as proud to see him come home and live among them as their neighbor and friend as they were proud to see him first come to Washington 30 years ago. | 0

Speaker, I join my colleagues today in remembering and honoring the memory of a great Congressman and a good and decent man. | 0

Speaker, on this last day of the 92d Congress, I am pleased to join with my other Ohio colleagues and the Members of this House in saluting the fine work of two Ohioans who are retiring at the end of this Congress. | 0

Speaker, I want to join with my colleagues in paying a deserving tribute to my good friend, Congressman ELMER J HOLLAND, for his dedicated service to his constituents and to the Nation. | 0

I salute BERKLEY BEDELL for his many years of dedicated public serive and I wish him continued success and good fortune in the years to come. | 0

Thousands   of  Kentuckians   are paying tribute to Governor Chandler today, including those at a party tonight in Lexington at which my longtime friend, Dr Floyd Poore, of Florence, KY, is the chairman of the event. | 0

Speaker, on behalf of the American family and the small businesses in America, and the budgets of the American family and those small businesses, I call on my colleagues to sign the no tax increase pledge. | 0

I personally would like to thank them for their help and their efforts on behalf of the same issues and on behalf of the same interests that have been the public interests, I want to thank them for the many long hours and the many weekends they have spent in this effort together in a real partnership. | 0

Let us help them, let us help ourselves, be fully proud of what we have and what we are. | 0

Speaker, I am proud to join my colleagues in paying tribute to a dear friend and close colleague, the Representative from the Second   District  of  Florida, DON. | 0

We all certainly join in our sympathy to the families who tragically lost loved ones last year; but it is most appropriate for this House to take the time to designate this Center in memory of those courageous brave Americans who rode the Challenger. | 0

Although we are going to lose a great colleague of ours because of his election last night, Chicago will gain a great mayor, thanks to the help of many of you and the national leaders of our fine Democratic Party. | 0

Mr Speaker, I yield to the gentleman from Texas . | 0

So I just want to remember him and pay him a great debt of gratitude for his friendship to me. | 0

I say to him that I will stand with him and with my fellow colleague, friend, and Senator from California , and with the leadership and with Senator BYRD, and my chairman, Senator SASSER, for as long as it takes until we get these funds out to our communities where they belong, where they are needed, where they will help our people because that is why I got elected and that is why I am here. | 0

As fellow midwesterners, we often fought shoulder to shoulder for the interests of our Nation's farmers and small-town America. | 0

This is a struggle for human rights, for fairness and for justice; it is a struggle worth fighting for, and I can tell these workers, and I can tell 120, 000 people who came from all over the country last weekend. | 0

All of us in the House of Representatives today salute the heroes of thousands and thousands of people fighting for their lives. | 0

And I'm proud to sacrifice my hard-earned dough and salute you when I say I'm going to send you a great big check with my Form 1040-A. | 0

Mr Speaker, I rise today to pay tribute to my good friend and colleague, Congressman Buddy Darden of Georgia. | 0

You have represented well the people not only of the First District of Illinois, but working men and women all over America and throughout the world. | 0

Speaker, It is with great pleasure that I pay tribute to our retiring colleague from my neighboring State of Michigan,. | 0

I would just close by saying that in 1994, when I came to this Congress, I promised the people of western Pennsylvania, who I am so privileged to represent, that I would put their interests ahead of the interests of my party and my President, and I also say to my wife Susan and my 4 kids, if they are watching this tonight, Michael, David, Kevin, Alexandra, that I am here for you, too, and for other families in western Pennsylvania. | 0

I am very pleased to join with those from around the country and across America who have stood to pay tribute to Charlie Hayes. | 0

I am here to say tonight, Madam Speaker, that I am proud to stand with the men and women of SEIU local 79 and their great President Willie Hampton for their fight for living wages and adequate benefits. | 0

Speaker, I rise on behalf of the people of upstate New York to say that we are deeply grateful for this action this morning in my district where people are waiting 8 hours in line to donate blood. | 0

Chestnut, a man who had served 20 years as an MP in the Air Force, his wife told me last night when I visited on behalf of the Congress and she said, that he was so proud to serve his country--seventeen years on the Capitol Police force, he was only two years away from retirement. | 0

When I go home today and I meet those folks that I represent, the people who are not going to get one iota of a tax break on relief, the people in my district currently are probably the hardest working folks, senior citizens, that have paid their way, that have given us the riches that we have in this country. | 0

The administration has stood by for months now with their hands in their pockets doing nothing for the thousands of steelworkers in the First Congressional District of Arkansas and across this country who have lost their jobs, people who have families to feed. | 0

How fitting it is that 200 West 2nd Street, the Federal building and courthouse in Dayton, will now permanently be named in honor of this really incredible Ohioan, who has traveled the world on behalf of the most downtrodden people, those who are starving, those who live in undemocratic places, those whose futures are truly bleak, and who has tried to be a voice for them in the world community, in the United States at the United Nations, and now as U N. | 0

